﻿沿海赛洛城南北通透三居，不临街，前后是花园。,39.89834561740244,116.50561556753093,2008年,830,2018-07-06,41022370,3室2厅2卫,低楼层/5层,集中供暖,139.66平米
﻿中建一局家属楼 三居室 每个功能区都带阳台,39.98943734839721,116.47080021627375,1999年,700,2018-02-27,40039035,3室2厅1卫,低楼层/21层,集中供暖,112.04平米
﻿两广路沿线 世纪星城 南北通透,39.894709888834537,116.63521091716585,2007年,710,2018-08-25,41360964,3室2厅2卫,中楼层/18层,集中供暖,143.65平米
﻿保利茉莉公馆  南北向三室两厅两卫格局  不临街明卫,39.77501032007979,116.32883496520388,2010年,718,2018-03-24,40259961,3室2厅2卫,低楼层/22层,集中供暖,132.12平米
﻿西南三居 花园位置 双卧朝南客厅朝南 采光好,40.04654313482354,116.41888512024669,2008年,800,2018-10-14,41745718,3室2厅2卫,顶层/23层,集中供暖,135.97平米
﻿宋家庄、成寿寺嘉和人家小区03年商品房社区 西南向 高楼层,39.84677720096638,116.43898902282884,2001年,705,2018-03-08,40109826,3室2厅2卫,高楼层/23层,集中供暖,123.73平米
﻿望京西园四区日不落三居室，带阳光房，带露台，前后不临街,39.99892770748108,116.47592281328181,2000年,810,2018-03-03,40069808,3室1厅1卫,高楼层/26层,,115.87平米
﻿东坝奥园主力三居 前后不临街 满五年唯一 无遮挡 随时看房,39.95952353620509,116.54525007733763,2009年,790,2018-05-06,40574263,3室2厅2卫,中楼层/9层,自供暖,126.95平米
﻿江山赋，新上全明三居两卫，不临街不把边，高楼层，,40.111072354740297,116.5531908613908,2009年,730,2018-07-21,41124132,3室2厅2卫,中楼层/11层,自供暖,115.48平米
﻿茉藜园南北三居室 中间楼层 无遮挡满五年一套一直自住,40.03946814907959,116.4240831011235,2005年,750,2018-04-18,40446763,3室2厅2卫,低楼层/19层,集中供暖,120.8平米
﻿筑华年 南向三居室 看房方便有钥匙 业主诚售,40.03619401291557,116.42778826132168,2012年,890,2018-09-22,41587803,3室2厅2卫,低楼层/24层,集中供暖,122.35平米
﻿天怡家园南北三居室 两套房一个本 楼层高视野好 看房有钥匙,40.04042043270324,116.42127006402524,2006年,780,2018-08-06,41235106,3室3厅2卫,中楼层/20层,自供暖,153.85平米
﻿茉藜园西南向三居室，房主诚售，带车位，紧邻地铁5号线,40.03946814907959,116.4240831011235,2007年,705,2018-06-12,40853529,3室2厅2卫,高楼层/26层,集中供暖,126.72平米
﻿望京新城东南三居 满五年 无敌户型 随时看 周期无限,39.99892770748108,116.47592281328181,2000年,810,2018-05-18,40662786,3室2厅2卫,低楼层/29层,,142.93平米
﻿满五年商品房南北通透三居室出售,40.05792505026989,116.31491666537784,2005年,860,2018-03-08,40109760,3室2厅2卫,中楼层/12层,集中供暖,142.29平米
﻿三元桥左家庄 精装复式 南北通透,39.95698142012025,116.44227101076088,1994年,800,2018-09-06,41454299,3室2厅2卫,顶层/6层,集中供暖,148.3平米
﻿怡海花园三期 三居室 业主诚售,39.83167919174496,116.30136042011067,2004年,800,2018-07-26,41157169,3室2厅2卫,高楼层/18层,集中供暖,130.07平米
﻿茉藜园南北通透大三居 正对花园  看房方便,40.03946814907959,116.4240831011235,2007年,730,2018-05-13,40625112,3室2厅2卫,中楼层/18层,集中供暖,153.19平米
﻿芍药居北里，08年南北三居，2梯5户，有钥匙，随时签约,39.98417776744501,116.43237687141482,2008年,900,2018-09-06,41454906,3室1厅1卫,低楼层/31层,集中供暖,116.17平米
﻿三居双卫，大户型，振国三居，高层视野好，无遮挡,40.004165713170618,116.46896917717918,1999年,800,2018-08-30,41397872,3室2厅1卫,高楼层/30层,集中供暖,155.42平米
﻿怡清园板楼正规南北三居 楼层好,40.03773971499165,116.35995498332855,2003年,725,2018-07-30,41183262,3室2厅1卫,低楼层/7层,集中供暖,120.87平米
﻿望花路西里 三居室 户型方正 视野开阔,39.98943734839721,116.47080021627375,1996年,800,2018-09-09,41479430,3室2厅1卫,中楼层/21层,集中供暖,112.04平米
﻿地铁宋家庄站 政馨园 南向三居，一梯两户 空置看房随时,39.84545321793585,116.43135612489874,2003年,750,2018-03-18,40206811,3室1厅2卫,顶层/12层,自供暖,134.03平米
﻿芳城园三区大客厅三居 满五年一套 楼下地铁14号线 看房随时,39.867201189924717,116.43592445639433,1998年,720,2018-10-14,41740110,3室1厅2卫,低楼层/25层,集中供暖,153平米
﻿东四环朝阳公园边 南北双通透三居室 改善优选 满五唯一,39.960321762363097,116.50027058329738,2003年,756,2018-10-13,41729677,3室2厅1卫,高楼层/21层,集中供暖,114.28平米
﻿玉泉三面朝南 满五年精装 看房随时,39.92138996627934,116.25366967804507,2001年,835,2018-10-14,41739431,3室2厅2卫,中楼层/11层,集中供暖,114.1平米
